Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Drop out,Third layer,Epochs,MSE error
5,Adam,32,,50,,,,,10,0.001836018
5,RMSprop,32,,50,,,,,10,0.001846005
5,Adam,64,,50,,,,,10,0.002644833
5,Adam,32,0.1,50,,,,,10,0.002287643
5,Adam,32,0.05,50,,,,,10,0.002236902
5,Adam,32,0.01,50,,,,,10,0.001972661
5,Adam,32,0.005,50,,,,,10,0.001837968
5,Adam,32,0.001,50,,,,,10,0.001972661
5,Adam,32,,100,,,,,10,0.001810541
5,Adam,32,,100,0.1,,,,10,0.001969502
5,Adam,32,,200,,,,,10,0.001828388
5,Adam,32,,100,,50,,,10,0.002128632
5,Adam,32,,100,,100,,,10,0.001800994
5,Adam,32,,100,,200,,,10,0.001885703
5,Adam,32,,100,,100,0.1,,10,0.001845507
5,Adam,32,,100,,100,,50,10,0.001842709
5,Adam,32,,100,,100,,100,10,0.001859826
5,Adam,32,,100,,100,,,30,0.001811145
10,Adam,32,,50,,,,,10,0.0018665
10,RMSprop,32,,50,,,,,10,0.001882447
10,Adam,64,,50,,,,,10,0.002490047
10,Adam,32,0.1,50,,,,,10,0.01005788
10,Adam,32,0.05,50,,,,,10,0.001830035
10,Adam,32,0.01,50,,,,,10,0.002653973
10,Adam,32,0.005,50,,,,,10,0.001841081
10,Adam,32,0.001,50,,,,,10,0.002653973
10,Adam,32,0.05,100,,,,,10,0.098649789
10,Adam,32,0.05,50,0.1,,,,10,0.002460275
10,Adam,32,0.05,50,,50,,,10,0.018170084
10,Adam,32,0.05,50,,100,,,10,0.003257583
10,Adam,32,0.05,50,,,,,30,0.001882719
15,Adam,32,,50,,,,,10,0.001858072
15,RMSprop,32,,50,,,,,10,0.001866837
15,Adam,64,,50,,,,,10,0.002184255
15,Adam,32,0.1,50,,,,,10,0.002400925
15,Adam,32,0.05,50,,,,,10,0.003923605
15,Adam,32,0.01,50,,,,,10,0.001863868
15,Adam,32,0.005,50,,,,,10,0.001922597
15,Adam,32,0.001,50,,,,,10,0.001863868
15,Adam,32,,100,,,,,10,0.001799355
15,Adam,32,,200,,,,,10,0.001819709
15,Adam,32,,100,0.1,,,,10,0.001855706
15,Adam,32,,100,,50,,,10,0.001822055
15,Adam,32,,100,,100,,,10,0.001830348
15,Adam,32,,100,,,,,30,0.001848109
20,Adam,32,,50,,,,,10,0.001823297
20,RMSprop,32,,50,,,,,10,0.001824916
20,Adam,64,,50,,,,,10,0.0018609
20,Adam,32,0.1,50,,,,,10,0.001952284
20,Adam,32,0.05,50,,,,,10,0.001886828
20,Adam,32,0.01,50,,,,,10,0.00208545
20,Adam,32,0.005,50,,,,,10,0.001812091
20,Adam,32,0.001,50,,,,,10,0.00208545
20,Adam,32,0.005,100,,,,,10,0.001967887
20,Adam,32,0.005,50,0.1,,,,10,0.002002364
20,Adam,32,0.005,50,,50,,,10,0.001860597
20,Adam,32,0.005,50,,100,,,10,0.001899935
20,Adam,32,0.005,50,,,,,30,0.001992137
25,Adam,32,,50,,,,,10,0.001807006
25,RMSprop,32,,50,,,,,10,0.001845351
25,Adam,64,,50,,,,,10,0.001964336
25,Adam,32,0.1,50,,,,,10,0.00232056
25,Adam,32,0.05,50,,,,,10,0.001954008
25,Adam,32,0.01,50,,,,,10,0.001886472
25,Adam,32,0.005,50,,,,,10,0.001779987
25,Adam,32,0.001,50,,,,,10,0.001886472
25,Adam,32,0.005,100,,,,,10,0.001817833
25,Adam,32,0.005,50,0.1,,,,10,0.001836319
25,Adam,32,0.005,50,,50,,,10,0.001877519
25,Adam,32,0.005,50,,100,,,10,0.001980593
25,Adam,32,0.005,50,,,,,30,0.001858276
30,Adam,32,,50,,,,,10,0.001896146
30,RMSprop,32,,50,,,,,10,0.00180648
30,RMSprop,64,,50,,,,,10,0.001897241
30,RMSprop,32,0.1,50,,,,,10,0.003750494
30,RMSprop,32,0.05,50,,,,,10,0.007232798
30,RMSprop,32,0.01,50,,,,,10,0.00191957
30,RMSprop,32,0.005,50,,,,,10,0.001884797
30,RMSprop,32,0.001,50,,,,,10,0.00191957
30,RMSprop,32,,100,,,,,10,0.002001231
30,RMSprop,32,,50,0.1,,,,10,0.001815481
30,RMSprop,32,,50,,50,,,10,0.001805384
30,RMSprop,32,,50,,100,,,10,0.001809143
30,RMSprop,32,,50,,50,0.1,,10,0.001876091
30,RMSprop,32,,50,,50,,50,10,0.002016363
30,RMSprop,32,,50,,50,,,30,0.001880395
