Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Output layer,Epochs,MSE error
5,Adam,32,,50,,,1,10,0.002086386382956
5,RMSprop,32,,50,,,1,10,0.0021065538984169
5,Adam,64,,50,,,1,10,0.0024306852512803
5,Adam,32,0.1,50,,,1,10,0.0021017036298319
5,Adam,32,0.05,50,,,1,10,0.0024922736268306
5,Adam,32,0.01,50,,,1,10,0.0020802689835247
5,Adam,32,0.005,50,,,1,10,0.0020072719677408
5,Adam,32,0.001,50,,,1,10,0.0020802689835247
5,Adam,32,0.005,100,,,1,10,0.0020431121092636
5,Adam,32,0.005,50,0.1,,1,10,0.001986900272959
5,Adam,32,0.005,50,0.2,,1,10,0.002069968245807
5,Adam,32,0.005,50,0.1,50.0,1,10,0.002062856545527
5,Adam,32,0.005,50,0.1,,1,20,0.002057007814532
10,Adam,32,,50,,,1,10,0.0020086448581532
10,RMSprop,32,,50,,,1,10,0.0020675925717185
10,Adam,64,,50,,,1,10,0.0026210210289782
10,Adam,32,0.1,50,,,1,10,0.0864872643647446
10,Adam,32,0.05,50,,,1,10,0.0021087127075055
10,Adam,32,0.01,50,,,1,10,0.0020655695615859
10,Adam,32,0.005,50,,,1,10,0.0021944998112491
10,Adam,32,0.001,50,,,1,10,0.0020655695615859
10,Adam,32,,100,,,1,10,0.0020105552110143
10,Adam,32,,50,0.1,,1,10,0.0022593651338774
10,Adam,32,,50,,50.0,1,10,0.0020146615665345
10,Adam,32,,50,,,1,20,0.0020543614636723
15,Adam,32,,50,,,1,10,0.0020141679328253
15,RMSprop,32,,50,,,1,10,0.0020390049454154
15,Adam,64,,50,,,1,10,0.0023561474430055
15,Adam,32,0.1,50,,,1,10,0.0024010726539424
15,Adam,32,0.05,50,,,1,10,0.0020324618613196
15,Adam,32,0.01,50,,,1,10,0.0020494147518512
15,Adam,32,0.005,50,,,1,10,0.0023516585496741
15,Adam,32,0.001,50,,,1,10,0.0020494147518512
15,Adam,32,,100,,,1,10,0.0019951200828908
15,Adam,32,,100,0.1,,1,10,0.0020763940463267
15,Adam,32,,100,,50.0,1,10,0.0020006730875133
15,Adam,32,,100,,,1,20,0.0020115012452217
20,Adam,32,,50,,,1,10,0.0020212765904468
20,RMSprop,32,,50,,,1,10,0.0020889853345935
20,Adam,64,,50,,,1,10,0.0023192319381316
20,Adam,32,0.1,50,,,1,10,0.002221999296331
20,Adam,32,0.05,50,,,1,10,0.0046600450389185
20,Adam,32,0.01,50,,,1,10,0.0020615684587792
20,Adam,32,0.005,50,,,1,10,0.002280282177515
20,Adam,32,0.001,50,,,1,10,0.0020615684587792
20,Adam,32,,100,,,1,10,0.0019875960201027
20,Adam,32,,100,0.1,,1,10,0.0019966411926017
20,Adam,32,,100,,50.0,1,10,0.0021273206842563
20,Adam,32,,100,,,1,20,0.002024126496947
25,Adam,32,,50,,,1,10,0.002031499493822
25,RMSprop,32,,50,,,1,10,0.0020874872156636
25,Adam,64,,50,,,1,10,0.0021854284649492
25,Adam,32,0.1,50,,,1,10,0.0021366777538608
25,Adam,32,0.05,50,,,1,10,0.0020834449410785
25,Adam,32,0.01,50,,,1,10,0.0020179998083551
25,Adam,32,0.005,50,,,1,10,0.0020143533007821
25,Adam,32,0.001,50,,,1,10,0.0020179998083551
25,Adam,32,0.005,100,,,1,10,0.0020465565646662
25,Adam,32,0.005,50,0.1,,1,10,0.0020709077097833
25,Adam,32,0.005,50,,50.0,1,10,0.0020557326008418
25,Adam,32,0.005,50,,,1,20,0.0021054636671852
30,Adam,32,,50,,,1,10,0.002004158375619647
30,RMSprop,32,,50,,,1,10,0.0020466938261927974
30,Adam,64,,50,,,1,10,0.0020319424241002724
30,Adam,32,0.1,50,,,1,10,0.015158321865015426
30,Adam,32,0.05,50,,,1,10,0.0020400143808028126
30,Adam,32,0.01,50,,,1,10,0.0020802269572163003
30,Adam,32,0.005,50,,,1,10,0.002263348757806467
30,Adam,32,0.001,50,,,1,10,0.0020802269572163003
30,Adam,32,,100,,,1,10,0.002096183877611409
30,Adam,32,,50,0.1,,1,10,0.002027595509010808
30,Adam,32,,50,,50,1,10,0.002027974041704082
30,Adam,32,,50,,,1,20,0.0020973945792520025
