Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Output layer,Epochs,MSE error
15,Adam,32,,50,,,1,10,0.002014
15,RMSprop,32,,50,,,1,10,0.002039
15,Adam,64,,50,,,1,10,0.002356
15,Adam,32,0.1,50,,,1,10,0.002401
15,Adam,32,0.05,50,,,1,10,0.002032
15,Adam,32,0.01,50,,,1,10,0.002049
15,Adam,32,0.005,50,,,1,10,0.002352
15,Adam,32,0.001,50,,,1,10,0.002049
15,Adam,32,,100,,,1,10,0.001995
15,Adam,32,,100,0.1,,1,10,0.002076
15,Adam,32,,100,,50.0,1,10,0.002001
15,Adam,32,,100,,,1,20,0.002012
