Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Drop out.1,Third layer,Output layer,Epochs,MSE error
20,Adam,32,,50,,,,,1,10,0.001823
20,RMSprop,32,,50,,,,,1,10,0.001825
20,Adam,64,,50,,,,,1,10,0.001861
20,Adam,32,0.1,50,,,,,1,10,0.001952
20,Adam,32,0.05,50,,,,,1,10,0.001887
20,Adam,32,0.01,50,,,,,1,10,0.002085
20,Adam,32,0.005,50,,,,,1,10,0.001812
20,Adam,32,0.001,50,,,,,1,10,0.002085
20,Adam,32,0.005,100,,,,,1,10,0.001968
20,Adam,32,0.005,50,0.1,,,,1,10,0.002002
20,Adam,32,0.005,50,,50.0,,,1,10,0.001861
20,Adam,32,0.005,50,,100.0,,,1,10,0.0019
20,Adam,32,0.005,50,,,,,1,30,0.001992
