Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Drop out.1,Third layer,Output layer,Epochs,MSE error
30,Adam,32,,50,,,,,1,10,0.001896
30,RMSprop,32,,50,,,,,1,10,0.001806
30,RMSprop,64,,50,,,,,1,10,0.001897
30,RMSprop,32,0.1,50,,,,,1,10,0.00375
30,RMSprop,32,0.05,50,,,,,1,10,0.007233
30,RMSprop,32,0.01,50,,,,,1,10,0.00192
30,RMSprop,32,0.005,50,,,,,1,10,0.001885
30,RMSprop,32,0.001,50,,,,,1,10,0.00192
30,RMSprop,32,,100,,,,,1,10,0.002001
30,RMSprop,32,,50,0.1,,,,1,10,0.001815
30,RMSprop,32,,50,,50.0,,,1,10,0.001805
30,RMSprop,32,,50,,100.0,,,1,10,0.001809
30,RMSprop,32,,50,,50.0,0.1,,1,10,0.001876
30,RMSprop,32,,50,,50.0,,50.0,1,10,0.002016
30,RMSprop,32,,50,,50.0,,,1,30,0.00188
