Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Drop out2,Third layer,Output layer,Epochs,MAE error,MAPE error,MSE error,RMSE error
10,Adam,32,,50,,,,,1,10,0.012136,0.054429,0.001818,0.04264
10,RMSprop,32,,50,,,,,1,10,0.015239,0.071949,0.001859,0.043111
10,Adam,64,,50,,,,,1,10,0.017186,0.087572,0.00238,0.048786
10,Adam,32,0.1,50,,,,,1,10,0.167481,0.911509,0.035691,0.18892
10,Adam,32,0.05,50,,,,,1,10,0.024616,0.124375,0.002104,0.045864
10,Adam,32,0.01,50,,,,,1,10,0.013826,0.067467,0.001801,0.042441
10,Adam,32,0.005,50,,,,,1,10,0.011539,0.053332,0.001807,0.04251
10,Adam,32,0.001,50,,,,,1,10,0.013826,0.067467,0.001801,0.042441
10,Adam,32,0.005,100,,,,,1,10,0.018319,0.084075,0.00191,0.043706
10,Adam,32,0.005,50,0.1,,,,1,10,0.011366,0.053539,0.001819,0.042652
10,Adam,32,0.005,50,,50,,,1,10,0.013061,0.066181,0.001969,0.044371
10,Adam,32,0.005,50,,,,,1,20,0.017468,0.09482,0.002041,0.045172
