Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Drop out2,Third layer,Output layer,Epochs,MAE error,MAPE error,MSE error,RMSE error
5,Adam,32,,50,,,,,1,10,0.023304,0.08622,0.002084,0.045656
5,RMSprop,32,,50,,,,,1,10,0.026051,0.099542,0.00229,0.047852
5,Adam,64,,50,,,,,1,10,0.026095,0.104324,0.00244,0.049398
5,Adam,32,0.1,50,,,,,1,10,0.029741,0.122874,0.002586,0.050855
5,Adam,32,0.05,50,,,,,1,10,0.03241,0.109154,0.002627,0.051257
5,Adam,32,0.01,50,,,,,1,10,0.022388,0.092431,0.002054,0.045323
5,Adam,32,0.005,50,,,,,1,10,0.025692,0.123222,0.002101,0.045832
5,Adam,32,0.001,50,,,,,1,10,0.022388,0.092431,0.002054,0.045323
5,Adam,32,,100,,,,,1,10,0.022172,0.078861,0.002032,0.045083
5,Adam,32,,100,0.1,,,,1,10,0.022633,0.083288,0.002084,0.045654
5,Adam,32,,100,,50,,,1,10,0.0229,0.11058,0.002047,0.045243
5,Adam,32,,100,,,,,1,20,0.020476,0.074577,0.002057,0.045356
5,Adam,32,,100,,,,,1,30,0.023905,0.102613,0.002147,0.046339
