Year,Month,Day,Hour,Minute,Second,CloudCover
2021,11,16,11,15,59,0.990
2021,11,16,11,16,20,0.989
2021,11,16,11,16,40,0.989
2021,11,16,11,17,01,0.988
2021,11,16,11,17,21,0.988
2021,11,16,11,17,42,0.987
2021,11,16,11,18,02,0.987
2021,11,16,11,18,22,0.987
2021,11,16,11,18,43,0.987
2021,11,16,11,19,03,0.987
2021,11,16,11,19,24,0.987
2021,11,16,11,19,45,0.987
2021,11,16,11,20,05,0.988
2021,11,16,11,20,26,0.990
2021,11,16,11,20,46,0.991
2021,11,16,11,21,06,0.991
2021,11,16,11,21,27,0.992
2021,11,16,11,21,48,0.993
2021,11,16,11,22,08,0.993
2021,11,16,11,22,29,0.993
2021,11,16,11,22,49,0.993
2021,11,16,11,23,09,0.993
2021,11,16,11,23,30,0.993
2021,11,16,11,23,51,0.993
2021,11,16,11,24,11,0.994
2021,11,16,11,24,32,0.994
2021,11,16,11,24,52,0.994
2021,11,16,11,25,12,0.994
2021,11,16,11,25,33,0.994
2021,11,16,11,25,54,0.993
2021,11,16,11,26,14,0.993
2021,11,16,11,26,34,0.993
2021,11,16,11,26,55,0.993
2021,11,16,11,27,15,0.993
2021,11,16,11,27,36,0.993
2021,11,16,11,27,57,0.993
2021,11,16,11,28,17,0.992
2021,11,16,11,28,38,0.991
2021,11,16,11,28,58,0.990
2021,11,16,11,29,18,0.990
2021,11,16,11,29,39,0.990
2021,11,16,11,29,59,0.990
2021,11,16,11,30,20,0.989
2021,11,16,11,30,40,0.986
2021,11,16,11,31,01,0.985
2021,11,16,11,31,21,0.983
2021,11,16,11,31,42,0.981
2021,11,16,11,32,02,0.979
2021,11,16,11,32,23,0.980
2021,11,16,11,32,43,0.985
2021,11,16,11,33,04,0.989
2021,11,16,11,33,24,0.992
2021,11,16,11,33,45,0.992
2021,11,16,11,34,05,0.993
2021,11,16,11,34,26,0.992
2021,11,16,11,34,47,0.990
2021,11,16,11,35,07,0.990
2021,11,16,11,35,28,0.989
2021,11,16,11,35,48,0.988
2021,11,16,11,36,09,0.987
2021,11,16,11,36,29,0.987
2021,11,16,11,36,50,0.987
2021,11,16,11,37,10,0.986
2021,11,16,11,37,31,0.985
2021,11,16,11,37,51,0.983
2021,11,16,11,38,12,0.983
2021,11,16,11,38,32,0.982
2021,11,16,11,38,53,0.980
2021,11,16,11,39,14,0.980
2021,11,16,11,39,34,0.980
2021,11,16,11,39,55,0.979
2021,11,16,11,40,15,0.978
2021,11,16,11,40,35,0.977
2021,11,16,11,40,56,0.979
2021,11,16,11,41,17,0.982
2021,11,16,11,41,37,0.984
2021,11,16,11,41,58,0.986
2021,11,16,11,42,18,0.988
2021,11,16,11,42,39,0.990
2021,11,16,11,42,59,0.992
2021,11,16,11,43,20,0.993
2021,11,16,11,43,40,0.995
2021,11,16,11,44,01,0.996
2021,11,16,11,44,21,0.996
2021,11,16,11,44,42,0.997
2021,11,16,11,45,02,0.997
2021,11,16,11,45,23,0.997
2021,11,16,11,45,43,0.997
2021,11,16,11,46,04,0.996
2021,11,16,11,46,24,0.995
2021,11,16,11,46,45,0.995
2021,11,16,11,47,05,0.995
2021,11,16,11,47,26,0.995
2021,11,16,11,47,46,0.995
2021,11,16,11,48,07,0.994
2021,11,16,11,48,27,0.994
2021,11,16,11,48,48,0.994
2021,11,16,11,49,08,0.994
2021,11,16,11,49,29,0.994
2021,11,16,11,49,49,0.993
2021,11,16,11,50,10,0.993
2021,11,16,11,50,30,0.995
2021,11,16,11,50,51,0.994
2021,11,16,11,51,12,0.993
2021,11,16,11,51,32,0.993
2021,11,16,11,51,53,0.993
2021,11,16,11,52,13,0.994
2021,11,16,11,52,34,0.995
2021,11,16,11,52,54,0.994
2021,11,16,11,53,15,0.995
2021,11,16,11,53,35,0.995
2021,11,16,11,53,56,0.996
2021,11,16,11,54,16,0.996
2021,11,16,11,54,37,0.996
2021,11,16,11,54,57,0.996
2021,11,16,11,55,18,0.996
2021,11,16,11,55,38,0.997
2021,11,16,11,55,59,0.997
2021,11,16,11,56,19,0.997
2021,11,16,11,56,40,0.997
2021,11,16,11,57,01,0.996
2021,11,16,11,57,21,0.996
2021,11,16,11,57,42,0.996
2021,11,16,11,58,02,0.996
2021,11,16,11,58,23,0.996
2021,11,16,11,58,43,0.996
2021,11,16,11,59,03,0.996
2021,11,16,11,59,24,0.996
2021,11,16,11,59,45,0.996
2021,11,16,12,00,05,0.996
2021,11,16,12,00,26,0.996
2021,11,16,12,00,46,0.997
2021,11,16,12,01,07,0.996
2021,11,16,12,01,27,0.996
2021,11,16,12,01,48,0.997
2021,11,16,12,02,08,0.997
2021,11,16,12,02,29,0.997
2021,11,16,12,02,49,0.996
2021,11,16,12,03,10,0.996
2021,11,16,12,03,30,0.996
2021,11,16,12,03,51,0.996
2021,11,16,12,04,11,0.996
2021,11,16,12,04,32,0.995
2021,11,16,12,04,53,0.995
2021,11,16,12,05,13,0.994
2021,11,16,12,05,34,0.994
2021,11,16,12,05,54,0.993
2021,11,16,12,06,14,0.992
2021,11,16,12,06,35,0.992
2021,11,16,12,06,55,0.992
2021,11,16,12,07,16,0.991
2021,11,16,12,07,37,0.989
2021,11,16,12,07,57,0.988
2021,11,16,12,08,18,0.987
2021,11,16,12,08,38,0.986
2021,11,16,12,08,58,0.985
2021,11,16,12,09,19,0.985
2021,11,16,12,09,40,0.984
2021,11,16,12,10,00,0.984
2021,11,16,12,10,20,0.985
2021,11,16,12,10,41,0.985
2021,11,16,12,11,01,0.986
2021,11,16,12,11,22,0.985
2021,11,16,12,11,43,0.986
2021,11,16,12,12,03,0.986
2021,11,16,12,12,24,0.987
2021,11,16,12,12,44,0.987
2021,11,16,12,13,05,0.987
2021,11,16,12,13,25,0.987
2021,11,16,12,13,46,0.988
2021,11,16,12,14,06,0.988
2021,11,16,12,14,27,0.988
2021,11,16,12,14,47,0.988
2021,11,16,12,15,08,0.988
2021,11,16,12,15,29,0.988
2021,11,16,12,15,49,0.988
2021,11,16,12,16,10,0.988
2021,11,16,12,16,30,0.987
2021,11,16,12,16,51,0.985
2021,11,16,12,17,11,0.984
2021,11,16,12,17,32,0.984
2021,11,16,12,17,52,0.984
2021,11,16,12,18,13,0.984
2021,11,16,12,18,33,0.986
2021,11,16,12,18,54,0.984
2021,11,16,12,19,14,0.984
2021,11,16,12,19,35,0.983
2021,11,16,12,19,55,0.983
2021,11,16,12,20,16,0.982
2021,11,16,12,20,36,0.983
2021,11,16,12,20,57,0.989
2021,11,16,12,21,17,0.984
2021,11,16,12,21,38,0.980
2021,11,16,12,21,58,0.979
2021,11,16,12,22,19,0.978
2021,11,16,12,22,39,0.977
2021,11,16,12,23,00,0.976
2021,11,16,12,23,20,0.975
2021,11,16,12,23,40,0.975
2021,11,16,12,24,01,0.974
2021,11,16,12,24,22,0.972
2021,11,16,12,24,42,0.971
2021,11,16,12,25,03,0.968
2021,11,16,12,25,23,0.966
2021,11,16,12,25,44,0.965
2021,11,16,12,26,05,0.964
2021,11,16,12,26,25,0.964
2021,11,16,12,26,45,0.974
2021,11,16,12,27,06,0.974
2021,11,16,12,27,26,0.972
2021,11,16,12,27,47,0.971
2021,11,16,12,28,07,0.970
2021,11,16,12,28,28,0.966
2021,11,16,12,28,48,0.965
2021,11,16,12,29,09,0.962
2021,11,16,12,29,29,0.961
2021,11,16,12,29,50,0.963
2021,11,16,12,30,10,0.967
2021,11,16,12,30,31,0.971
2021,11,16,12,30,51,0.967
2021,11,16,12,31,12,0.957
2021,11,16,12,31,32,0.955
2021,11,16,12,31,53,0.951
2021,11,16,12,32,13,0.949
2021,11,16,12,32,34,0.946
2021,11,16,12,32,55,0.945
2021,11,16,12,33,15,0.945
2021,11,16,12,33,36,0.944
2021,11,16,12,33,56,0.945
2021,11,16,12,34,17,0.946
2021,11,16,12,34,37,0.948
2021,11,16,12,34,57,0.946
2021,11,16,12,35,18,0.947
2021,11,16,12,35,38,0.952
2021,11,16,12,35,59,0.954
2021,11,16,12,36,19,0.956
2021,11,16,12,36,40,0.957
2021,11,16,12,37,00,0.959
2021,11,16,12,37,21,0.961
2021,11,16,12,37,41,0.961
2021,11,16,12,38,01,0.963
2021,11,16,12,38,22,0.964
2021,11,16,12,38,42,0.964
2021,11,16,12,39,03,0.967
2021,11,16,12,39,23,0.968
2021,11,16,12,39,44,0.970
2021,11,16,12,40,04,0.971
2021,11,16,12,40,25,0.972
2021,11,16,12,40,45,0.972
2021,11,16,12,41,06,0.972
2021,11,16,12,41,26,0.972
2021,11,16,12,41,47,0.972
2021,11,16,12,42,08,0.973
2021,11,16,12,42,28,0.972
2021,11,16,12,42,48,0.973
2021,11,16,12,43,09,0.973
2021,11,16,12,43,29,0.974
2021,11,16,12,43,50,0.974
2021,11,16,12,44,10,0.974
2021,11,16,12,44,31,0.973
2021,11,16,12,44,51,0.974
2021,11,16,12,45,12,0.974
2021,11,16,12,45,32,0.973
2021,11,16,12,45,53,0.973
2021,11,16,12,46,13,0.973
2021,11,16,12,46,34,0.972
2021,11,16,12,46,54,0.971
2021,11,16,12,47,15,0.971
2021,11,16,12,47,35,0.969
2021,11,16,12,47,56,0.967
2021,11,16,12,48,16,0.966
2021,11,16,12,48,37,0.964
2021,11,16,12,48,57,0.963
2021,11,16,12,49,18,0.962
2021,11,16,12,49,38,0.961
2021,11,16,12,49,59,0.960
2021,11,16,12,50,19,0.960
2021,11,16,12,50,40,0.959
2021,11,16,12,51,00,0.959
2021,11,16,12,51,21,0.958
2021,11,16,12,51,41,0.956
2021,11,16,12,52,02,0.955
2021,11,16,12,52,22,0.954
2021,11,16,12,52,43,0.953
2021,11,16,12,53,03,0.951
2021,11,16,12,53,24,0.951
2021,11,16,12,53,44,0.952
2021,11,16,12,54,05,0.952
2021,11,16,12,54,25,0.953
2021,11,16,12,54,46,0.953
2021,11,16,12,55,06,0.953
2021,11,16,12,55,27,0.954
2021,11,16,12,55,47,0.955
2021,11,16,12,56,08,0.956
2021,11,16,12,56,28,0.959
2021,11,16,12,56,49,0.960
2021,11,16,12,57,09,0.963
2021,11,16,12,57,30,0.966
2021,11,16,12,57,50,0.970
2021,11,16,12,58,11,0.973
2021,11,16,12,58,31,0.974
2021,11,16,12,58,52,0.977
2021,11,16,12,59,12,0.978
2021,11,16,12,59,33,0.979
2021,11,16,12,59,53,0.979
2021,11,16,13,00,14,0.981
2021,11,16,13,00,34,0.981
2021,11,16,13,00,55,0.980
2021,11,16,13,01,15,0.981
2021,11,16,13,01,36,0.982
2021,11,16,13,01,56,0.981
2021,11,16,13,02,17,0.982
2021,11,16,13,02,37,0.982
2021,11,16,13,02,58,0.982
2021,11,16,13,03,18,0.982
2021,11,16,13,03,39,0.981
